fecha,hora,temperatura
21/06/2019,11:03:40,36
21/06/2019,11:03:42,36
21/06/2019,11:03:44,36
21/06/2019,11:03:46,36
21/06/2019,11:03:48,36
21/06/2019,11:03:50,36
21/06/2019,11:03:52,36
21/06/2019,11:03:54,36
21/06/2019,11:03:56,36.06
21/06/2019,11:03:58,36.06
21/06/2019,11:04:00,36.06
21/06/2019,11:04:02,36.06
21/06/2019,11:04:04,36.06
21/06/2019,11:04:06,36.06
21/06/2019,11:04:08,36.06
21/06/2019,11:04:10,36.06
21/06/2019,11:04:12,36.06
21/06/2019,11:04:14,36.06
21/06/2019,11:04:16,36.06
21/06/2019,11:04:18,36.06
21/06/2019,11:04:20,36.06
21/06/2019,11:04:22,36.06
21/06/2019,11:04:24,36.13
21/06/2019,11:04:26,36.13
21/06/2019,11:04:28,36.13
21/06/2019,11:04:30,36.13
21/06/2019,11:04:32,36.13
21/06/2019,11:04:34,36.13
21/06/2019,11:04:36,36.13
21/06/2019,11:04:38,36.13
21/06/2019,11:04:40,36.13
21/06/2019,11:04:42,36.13
21/06/2019,11:04:44,36.13
21/06/2019,11:04:46,36.13
21/06/2019,11:04:48,36.13
21/06/2019,11:04:50,36.13
21/06/2019,11:04:52,36.13
21/06/2019,11:04:54,36.13
21/06/2019,11:04:56,36.13
21/06/2019,11:04:58,36.13
21/06/2019,11:05:00,36.13
21/06/2019,11:05:02,36.13
21/06/2019,11:05:04,36.13
21/06/2019,11:05:06,36.13
21/06/2019,11:05:08,36.13
21/06/2019,11:05:10,36.13
21/06/2019,11:05:12,36.13
21/06/2019,11:05:14,36.13
21/06/2019,11:05:16,36.13
21/06/2019,11:05:18,36.13
21/06/2019,11:05:20,36.19
21/06/2019,11:05:22,36.19
21/06/2019,11:05:24,36.13
21/06/2019,11:05:26,36.13
21/06/2019,11:05:28,36.19
21/06/2019,11:05:30,36.13
21/06/2019,11:05:32,36.19
21/06/2019,11:05:34,36.13
21/06/2019,11:05:36,36.19
21/06/2019,11:05:38,36.13
21/06/2019,11:05:40,36.19
21/06/2019,11:05:42,36.19
21/06/2019,11:05:44,36.19
21/06/2019,11:05:46,36.19
21/06/2019,11:05:48,36.19
21/06/2019,11:05:50,36.19
21/06/2019,11:05:52,36.19
21/06/2019,11:05:54,36.19
21/06/2019,11:05:56,36.19
21/06/2019,11:05:58,36.19
21/06/2019,11:06:00,36.19
21/06/2019,11:06:02,36.19
21/06/2019,11:06:04,36.19
21/06/2019,11:06:06,36.19
21/06/2019,11:06:08,36.19
21/06/2019,11:06:10,36.19
21/06/2019,11:06:12,36.19
21/06/2019,11:06:14,36.19
21/06/2019,11:06:16,36.19
21/06/2019,11:06:18,36.19
21/06/2019,11:06:20,36.19
21/06/2019,11:06:22,36.19
21/06/2019,11:06:24,36.19
21/06/2019,11:06:26,36.19
21/06/2019,11:06:28,36.25
21/06/2019,11:06:30,36.25
21/06/2019,11:06:32,36.25
21/06/2019,11:06:34,36.25
21/06/2019,11:06:36,36.25
21/06/2019,11:06:38,36.25
21/06/2019,11:06:40,36.25
21/06/2019,11:06:42,36.25
21/06/2019,11:06:44,36.25
21/06/2019,11:06:46,36.25
21/06/2019,11:06:48,36.25
21/06/2019,11:06:50,36.25
21/06/2019,11:06:52,36.25
21/06/2019,11:06:54,36.25
21/06/2019,11:06:56,36.25
21/06/2019,11:06:58,36.25
21/06/2019,11:07:00,36.25
21/06/2019,11:07:02,36.25
21/06/2019,11:07:04,36.25
21/06/2019,11:07:06,36.25
21/06/2019,11:07:08,36.25
21/06/2019,11:07:10,36.25
21/06/2019,11:07:12,36.31
21/06/2019,11:07:14,36.31
21/06/2019,11:07:16,36.31
21/06/2019,11:07:18,36.31
21/06/2019,11:07:20,36.31
21/06/2019,11:07:22,36.31
21/06/2019,11:07:24,36.31
